~No.overall~No. inseason~Title~Directed by~Written by~Original air date~Prod.code~U.S. viewers(millions)~season~Rating(18–49)~Rating/share(18–49)~Special No.~U.S. viewersmillions
71~74~1~The One With The Jellyfish~Shelley Jensen~Wil Calhoun~September 25, 1997~466601.0~29.43~4~~15.5/44~~
72~75~2~The One With The Cat~Shelley Jensen~Jill Condon & Amy Toomin~October 2, 1997~466602.0~25.54~4~~13.3/40~~
73~76~3~The One With The Cuffs~Peter Bonerz~Seth Kurland~October 9, 1997~466603.0~23.98~4~~12.4/37~~
74~77~4~The One With The Ballroom Dancing~Gail Mancuso~Ted Cohen & Andrew Reich~October 16, 1997~466604.0~24.31~4~~12.6/37~~
75~78~5~The One With Joey'S New Girlfriend~Gail Mancuso~Gregory S. Malins & Michael Curtis~October 30, 1997~466605.0~24.35~4~~12.7/35~~
76~79~6~The One With The Dirty Girl~Shelley Jensen~Shana Goldberg-Meehan & Scott Silveri~November 6, 1997~466606.0~25.68~4~~13.5/38~~
77~80~7~The One Where Chandler Crosses The Line~Kevin S. Bright~Adam Chase~November 13, 1997~466607.0~26.35~4~~13.9/38~~
78~81~8~The One With Chandler In A Box~Peter Bonerz~Michael Borkow~November 20, 1997~466608.0~26.76~4~~13.7/39~~
79~82~9~The One Where They'Re Going To Party!~Peter Bonerz~Ted Cohen & Andrew Reich~December 11, 1997~466609.0~23.89~4~~~~
80~83~10~The One With The Girl From Poughkeepsie~Gary Halvorson~Scott Silveri~December 18, 1997~466612.0~23.22~4~~~~
81~84~11~The One With Phoebe'S Uterus~David Steinberg~Seth Kurland~January 8, 1998~466610.0~23.66~4~~~~
82~85~12~The One With The Embryos~Kevin S. Bright~Jill Condon & Amy Toomin~January 15, 1998~466611.0~27.14~4~~~~
83~86~13~The One With Rachel'S Crush~Dana DeVally Piazza~Shana Goldberg-Meehan~January 29, 1998~466613.0~25.27~4~~13.0/36~~
84~87~14~The One With Joey'S Dirty Day~Peter Bonerz~Wil Calhoun~February 5, 1998~466614.0~25.08~4~~14.5/37~~
85~88~15~The One With All The Rugby~James Burrows~Story by : Ted Cohen & Andrew ReichTeleplay by : Wil Calhoun~February 26, 1998~466617.0~24.44~4~~12.8/35~~
86~89~16~The One With The Fake Party~Michael Lembeck~Story by : Alicia Sky VarinaitisTeleplay by : Scott Silveri & Shana Goldberg-Meehan~March 19, 1998~466615.0~23.13~4~~11.7/33~~
87~90~17~The One With The Free Porn~Michael Lembeck~Story by : Mark KunerthTeleplay by : Richard Goodman~March 26, 1998~466616.0~23.22~4~~12.1/36~~
88~91~18~The One With Rachel'S New Dress~Gail Mancuso~Story by : Andrew Reich & Ted CohenTeleplay by : Jill Condon & Amy Toomin~April 2, 1998~466620.0~21.72~4~~11.5/33~~
89~92~19~The One With All The Haste~Kevin S. Bright~Scott Silveri & Wil Calhoun~April 9, 1998~466618.0~21.76~4~~11.4/36~~
90~93~20~The One With All The Wedding Dresses~Gail Mancuso~Story by : Adam ChaseTeleplay by : Gregory S. Malins & Michael Curtis~April 16, 1998~466621.0~21.94~4~~11.6/35~~
91~94~21~The One With The Invitation~Peter Bonerz~Seth Kurland~April 23, 1998~466619.0~21.51~4~~11.3/37~~
92~95~22~The One With The Worst Best Man Ever~Peter Bonerz~Story by : Seth KurlandTeleplay by : Gregory S. Malins & Michael Curtis~April 30, 1998~466622.0~23.15~4~~11.9/38~~
94~98~1~The One After Ross Says Rachel~Kevin S. Bright~Seth Kurland~September 24, 1998~467651.0~31.12~5~~16.6/46~~
95~99~2~The One With All The Kissing~Gary Halvorson~Wil Calhoun~October 1, 1998~467652.0~25.36~5~~13.3/40~~
96~100~3~The One Hundredththe One With The Triplets~Kevin S. Bright~David Crane & Marta Kauffman~October 8, 1998~467653.0~26.82~5~~~~
97~101~4~The One Where Phoebe Hates Pbs~Shelley Jensen~Michael Curtis~October 15, 1998~467654.0~24.09~5~~12.7/38~~
98~102~5~The One With The Kips~Dana DeVally Piazza~Scott Silveri~October 29, 1998~467655.0~25.87~5~~13.5/38~~
99~103~6~The One With The Yeti~Gary Halvorson~Alexa Junge~November 5, 1998~467656.0~24.99~5~~13.1/36~~
100~104~7~The One Where Ross Moves In~Gary Halvorson~Gigi McCreery & Perry Rein~November 12, 1998~467657.0~24.44~5~~12.9/36~~
101~105~8~The One With All The Thanksgivings~Kevin S. Bright~Gregory S. Malins~November 19, 1998~467659.0~23.92~5~~12.4/35~~
